Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Status
rajasthan-radiance-table-lamp,Rajasthan Radiance Table Lamp,"<h2>Rajasthan Radiance Table Lamp</h2><p>Inspired by the intricate jaali screens of Rajasthan's palaces, the Rajasthan Radiance Table Lamp casts mesmerising geometric shadow patterns across your walls and ceilings. Each piece is printed layer-by-layer in our Delhi NCR studio using premium PLA+ filament.</p><ul><li>Material: PLA+ bioplastic (eco-friendly, sugarcane-derived)</li><li>Dimensions: 22cm height × 16cm diameter</li><li>Weight: ~380g printed shade</li><li>Cord: 1.5m fabric-braided cord with inline switch</li><li>Base: Weighted ceramic or 3D printed base</li></ul><div style='background:#1a1200;border-left:4px solid #C8A84B;padding:14px;margin:16px 0;border-radius:4px'><strong style='color:#C8A84B'>⚠️ LED ONLY</strong><br>Use LED bulbs only (max 5W). PLA+ softens at 60°C. Never use incandescent or halogen bulbs.</div>",Decora3D,,Lamp,"lamp, table-lamp, lighting, rajasthan, pla-plus, bedroom, handcrafted",TRUE,Colour,Natural White,LED Bulb,LED Included,,,D3D-LAMP-001-NW-LED,800,shopify,50,deny,manual,2499.00,2999.00,TRUE,TRUE,,1,Rajasthan Radiance Table Lamp — 3D printed PLA+ | Decora3D Delhi,FALSE,Rajasthan Radiance Table Lamp — 3D Printed PLA+ | Decora3D Delhi,"Inspired by Rajasthani jaali patterns. Geometric 3D printed table lamp in PLA+. Natural White, Charcoal Black & Terracotta. LED bulb option. Handcrafted in Delhi NCR. Free shipping ₹999+.",,active
rajasthan-radiance-table-lamp,,,,,,,,,Natural White,,LED Not Included,,,D3D-LAMP-001-NW,800,shopify,50,deny,manual,2299.00,,TRUE,TRUE,,,,,,,,active
rajasthan-radiance-table-lamp,,,,,,,,,Charcoal Black,,LED Included,,,D3D-LAMP-001-CB-LED,800,shopify,50,deny,manual,2499.00,,TRUE,TRUE,,,,,,,,active
rajasthan-radiance-table-lamp,,,,,,,,,Charcoal Black,,LED Not Included,,,D3D-LAMP-001-CB,800,shopify,50,deny,manual,2299.00,,TRUE,TRUE,,,,,,,,active
rajasthan-radiance-table-lamp,,,,,,,,,Terracotta,,LED Included,,,D3D-LAMP-001-TC-LED,800,shopify,50,deny,manual,2499.00,,TRUE,TRUE,,,,,,,,active
rajasthan-radiance-table-lamp,,,,,,,,,Terracotta,,LED Not Included,,,D3D-LAMP-001-TC,800,shopify,50,deny,manual,2299.00,,TRUE,TRUE,,,,,,,,active
chenab-moon-pendant-light,Chenab Moon Pendant Light,<p>Chenab Moon Pendant Light — 3D printed in PLA+. Handcrafted in Delhi NCR by Decora3D.</p>,Decora3D,,Pendant Light,"lamp, pendant, lighting, moon, pla-plus, ceiling, dining",TRUE,Colour,Natural White,LED Bulb,LED Included,,,D3D-PEND-001-NW-LED,600,shopify,50,deny,manual,3299.00,3999.00,TRUE,TRUE,,1,Chenab Moon Pendant Light — 3D printed PLA+ | Decora3D Delhi,FALSE,Chenab Moon Pendant Light — 3D Printed | Decora3D Delhi,Organic crescent-inspired pendant light. 3D printed in PLA+. Stunning light diffusion. Perfect for dining tables. Handcrafted in Delhi NCR.,,active
chenab-moon-pendant-light,,,,,,,,,Natural White,,LED Not Included,,,D3D-PEND-001-NW,600,shopify,50,deny,manual,3299.00,,TRUE,TRUE,,,,,,,,active
chenab-moon-pendant-light,,,,,,,,,Charcoal Black,,LED Included,,,D3D-PEND-001-CB-LED,600,shopify,50,deny,manual,3299.00,,TRUE,TRUE,,,,,,,,active
chenab-moon-pendant-light,,,,,,,,,Charcoal Black,,LED Not Included,,,D3D-PEND-001-CB,600,shopify,50,deny,manual,3299.00,,TRUE,TRUE,,,,,,,,active
chenab-moon-pendant-light,,,,,,,,,Pearl Gold,,LED Included,,,D3D-PEND-001-PG-LED,600,shopify,50,deny,manual,3299.00,,TRUE,TRUE,,,,,,,,active
chenab-moon-pendant-light,,,,,,,,,Pearl Gold,,LED Not Included,,,D3D-PEND-001-PG,600,shopify,50,deny,manual,3299.00,,TRUE,TRUE,,,,,,,,active
voronoi-pendant-lamp,Voronoi Pendant Lamp,<p>Voronoi Pendant Lamp — 3D printed in PLA+. Handcrafted in Delhi NCR by Decora3D.</p>,Decora3D,,Pendant Light,"lamp, pendant, voronoi, geometric, pla-plus, viral, bestseller, lighting",TRUE,Colour,Natural White,LED Bulb,LED Included,,,D3D-PEND-002-NW-LED,450,shopify,50,deny,manual,3499.00,4199.00,TRUE,TRUE,,1,Voronoi Pendant Lamp — 3D printed PLA+ | Decora3D Delhi,FALSE,Voronoi Pendant Lamp — Geometric 3D Printed Light | Decora3D Delhi,Our most viral product. Voronoi cell geometry creates stunning shadow patterns. 3D printed in PLA+. Instant conversation starter. Delhi NCR.,,active
voronoi-pendant-lamp,,,,,,,,,Natural White,,LED Not Included,,,D3D-PEND-002-NW,450,shopify,50,deny,manual,3499.00,,TRUE,TRUE,,,,,,,,active
voronoi-pendant-lamp,,,,,,,,,Charcoal Black,,LED Included,,,D3D-PEND-002-CB-LED,450,shopify,50,deny,manual,3499.00,,TRUE,TRUE,,,,,,,,active
voronoi-pendant-lamp,,,,,,,,,Charcoal Black,,LED Not Included,,,D3D-PEND-002-CB,450,shopify,50,deny,manual,3499.00,,TRUE,TRUE,,,,,,,,active
voronoi-pendant-lamp,,,,,,,,,Copper,,LED Included,,,D3D-PEND-002-CP-LED,450,shopify,50,deny,manual,3499.00,,TRUE,TRUE,,,,,,,,active
voronoi-pendant-lamp,,,,,,,,,Copper,,LED Not Included,,,D3D-PEND-002-CP,450,shopify,50,deny,manual,3499.00,,TRUE,TRUE,,,,,,,,active
crinkle-crystal-mood-lamp,Crinkle Crystal Mood Lamp,<p>Crinkle Crystal Mood Lamp — 3D printed in PLA+. Handcrafted in Delhi NCR by Decora3D.</p>,Decora3D,,Lamp,"lamp, mood-lamp, crystal, crinkle, pla-plus, bedroom, ambient",TRUE,Colour,Natural White,LED Bulb,LED Included,,,D3D-LAMP-003-NW-LED,550,shopify,50,deny,manual,2999.00,3499.00,TRUE,TRUE,,1,Crinkle Crystal Mood Lamp — 3D printed PLA+ | Decora3D Delhi,FALSE,,,,active
crinkle-crystal-mood-lamp,,,,,,,,,Charcoal Black,,LED Included,,,D3D-LAMP-003-CB-LED,550,shopify,50,deny,manual,2999.00,,TRUE,TRUE,,,,,,,,active
crinkle-crystal-mood-lamp,,,,,,,,,Frosted Lilac,,LED Included,,,D3D-LAMP-003-FL-LED,550,shopify,50,deny,manual,2999.00,,TRUE,TRUE,,,,,,,,active
artichoke-mini-table-lamp,Artichoke Mini Table Lamp,<p>Artichoke Mini Table Lamp — 3D printed in PLA+. Handcrafted in Delhi NCR by Decora3D.</p>,Decora3D,,Lamp,"lamp, table-lamp, artichoke, mini, pla-plus, desk, bedroom",TRUE,Colour,Natural White,LED Bulb,LED Included,,,D3D-LAMP-004-NA,350,shopify,50,deny,manual,1899.00,2299.00,TRUE,TRUE,,1,Artichoke Mini Table Lamp — 3D printed PLA+ | Decora3D Delhi,FALSE,,,,active
artichoke-mini-table-lamp,,,,,,,,,Natural White,,LED Not Included,,,D3D-LAMP-004-NA,350,shopify,50,deny,manual,1899.00,,TRUE,TRUE,,,,,,,,active
artichoke-mini-table-lamp,,,,,,,,,Charcoal Black,,LED Included,,,D3D-LAMP-004-CH,350,shopify,50,deny,manual,1899.00,,TRUE,TRUE,,,,,,,,active
artichoke-mini-table-lamp,,,,,,,,,Charcoal Black,,LED Not Included,,,D3D-LAMP-004-CH,350,shopify,50,deny,manual,1899.00,,TRUE,TRUE,,,,,,,,active
artichoke-mini-table-lamp,,,,,,,,,Sage Green,,LED Included,,,D3D-LAMP-004-SA,350,shopify,50,deny,manual,1899.00,,TRUE,TRUE,,,,,,,,active
artichoke-mini-table-lamp,,,,,,,,,Sage Green,,LED Not Included,,,D3D-LAMP-004-SA,350,shopify,50,deny,manual,1899.00,,TRUE,TRUE,,,,,,,,active
sabarmati-divinity-pendant-light,Sabarmati Divinity Pendant Light,<p>Sabarmati Divinity Pendant Light — 3D printed in PLA+. Handcrafted in Delhi NCR by Decora3D.</p>,Decora3D,,Pendant Light,"lamp, pendant, divinity, spiritual, pla-plus, pooja, ceiling",TRUE,Colour,Natural White,LED Bulb,LED Included,,,D3D-PEND-003-NA,520,shopify,50,deny,manual,2799.00,3299.00,TRUE,TRUE,,1,Sabarmati Divinity Pendant Light — 3D printed PLA+ | Decora3D Delhi,FALSE,,,,active
sabarmati-divinity-pendant-light,,,,,,,,,Natural White,,LED Not Included,,,D3D-PEND-003-NA,520,shopify,50,deny,manual,2799.00,,TRUE,TRUE,,,,,,,,active
sabarmati-divinity-pendant-light,,,,,,,,,Charcoal Black,,LED Included,,,D3D-PEND-003-CH,520,shopify,50,deny,manual,2799.00,,TRUE,TRUE,,,,,,,,active
sabarmati-divinity-pendant-light,,,,,,,,,Charcoal Black,,LED Not Included,,,D3D-PEND-003-CH,520,shopify,50,deny,manual,2799.00,,TRUE,TRUE,,,,,,,,active
sabarmati-divinity-pendant-light,,,,,,,,,Antique Gold,,LED Included,,,D3D-PEND-003-AN,520,shopify,50,deny,manual,2799.00,,TRUE,TRUE,,,,,,,,active
sabarmati-divinity-pendant-light,,,,,,,,,Antique Gold,,LED Not Included,,,D3D-PEND-003-AN,520,shopify,50,deny,manual,2799.00,,TRUE,TRUE,,,,,,,,active
